practice_input,target_hsn8,target_hsn4,target_hsn6,target_description,difficulty,source
psittaciformes parrots parrakeets and cockatoos,01063200,0106,010632,"PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS",medium,training_mode
psittaciforme incl parrot parrakeet macaw and,01063200,0106,010632,"PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS",hard,training_mode
ostriches emus dromaius novaehollandiae,01063300,0106,010633,"OSTRICHES, EMUS (DROMAIUS NOVAEHOLLANDIAE)",easy,training_mode
ostriches dromaius novaehollandiae,01063300,0106,010633,"OSTRICHES, EMUS (DROMAIUS NOVAEHOLLANDIAE)",medium,training_mode
ostriche emus dromaiu novaehollandia,01063300,0106,010633,"OSTRICHES, EMUS (DROMAIUS NOVAEHOLLANDIAE)",hard,training_mode
other,01063900,0106,010639,OTHER,easy,training_mode
othe,01063900,0106,010639,OTHER,hard,training_mode
pureline stock,01064110,0106,010641,Pureline stock,easy,training_mode
purelin stoc,01064110,0106,010641,Pureline stock,hard,training_mode
other,01064190,0106,010641,other,easy,training_mode
othe,01064190,0106,010641,other,hard,training_mode
pureline stock,01064910,0106,010649,Pureline Stock,easy,training_mode
purelin stoc,01064910,0106,010649,Pureline Stock,hard,training_mode
other,01064990,0106,010649,Other,easy,training_mode
othe,01064990,0106,010649,Other,hard,training_mode
other,01069000,0106,010690,Other,easy,training_mode
othe,01069000,0106,010690,Other,hard,training_mode
otherlive animals other beesandotherinsects notelsewhereincludedorspecified,01069010,0106,010690,"OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED",easy,training_mode
otherlive other beesandotherinsects,01069010,0106,010690,"OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED",medium,training_mode
otherliv animal othe beesandotherinsect notelsewhereincludedorspecifie,01069010,0106,010690,"OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED",hard,training_mode
other live animals other pure line,01069020,0106,010690,OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK,easy,training_mode
other animals other line stock,01069020,0106,010690,OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK,medium,training_mode
othe live animal othe pure line,01069020,0106,010690,OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK,hard,training_mode
other live animals other other,01069090,0106,010690,OTHER LIVE ANIMALS - OTHER - OTHER,easy,training_mode
other animals other,01069090,0106,010690,OTHER LIVE ANIMALS - OTHER - OTHER,medium,training_mode
othe live animal othe othe,01069090,0106,010690,OTHER LIVE ANIMALS - OTHER - OTHER,hard,training_mode
carcases and half carcases,02011000,0201,020110,CARCASES AND HALF-CARCASES,easy,training_mode
carcases half carcases,02011000,0201,020110,CARCASES AND HALF-CARCASES,medium,training_mode
carcase and half carcase,02011000,0201,020110,CARCASES AND HALF-CARCASES,hard,training_mode
other cuts with bone in,02012000,0201,020120,OTHER CUTS WITH BONE IN,easy,training_mode
other with bone,02012000,0201,020120,OTHER CUTS WITH BONE IN,medium,training_mode
othe cuts with bone in,02012000,0201,020120,OTHER CUTS WITH BONE IN,hard,training_mode
boneless,02013000,0201,020130,BONELESS,easy,training_mode
boneles,02013000,0201,020130,BONELESS,hard,training_mode
carcases and half carcases,02021000,0202,020210,CARCASES AND HALF-CARCASES,easy,training_mode
carcases half carcases,02021000,0202,020210,CARCASES AND HALF-CARCASES,medium,training_mode
carcase and half carcase,02021000,0202,020210,CARCASES AND HALF-CARCASES,hard,training_mode
other cuts with bone in,02022000,0202,020220,"OTHER CUTS, WITH BONE IN",easy,training_mode
other with bone,02022000,0202,020220,"OTHER CUTS, WITH BONE IN",medium,training_mode
othe cuts with bone in,02022000,0202,020220,"OTHER CUTS, WITH BONE IN",hard,training_mode
boneless,02023000,0202,020230,BONELESS,easy,training_mode
boneles,02023000,0202,020230,BONELESS,hard,training_mode
carcases and half carcases,02031100,0203,020311,CARCASES AND HALF-CARCASES,easy,training_mode
carcases half carcases,02031100,0203,020311,CARCASES AND HALF-CARCASES,medium,training_mode
carcase and half carcase,02031100,0203,020311,CARCASES AND HALF-CARCASES,hard,training_mode
hams shoulders and cuts thereof of,02031200,0203,020312,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",easy,training_mode
hams and cuts of with in,02031200,0203,020312,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",medium,training_mode
hams shoulder and cuts thereo of,02031200,0203,020312,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",hard,training_mode
other,02031900,0203,020319,OTHER,easy,training_mode
othe,02031900,0203,020319,OTHER,hard,training_mode
carcases and half carcases,02032100,0203,020321,CARCASES AND HALF-CARCASES,easy,training_mode
carcases half carcases,02032100,0203,020321,CARCASES AND HALF-CARCASES,medium,training_mode
carcase and half carcase,02032100,0203,020321,CARCASES AND HALF-CARCASES,hard,training_mode
hams shoulders and cuts thereof of,02032200,0203,020322,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",easy,training_mode
hams and cuts of with in,02032200,0203,020322,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",medium,training_mode
hams shoulder and cuts thereo of,02032200,0203,020322,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",hard,training_mode
other,02032900,0203,020329,OTHER,easy,training_mode
othe,02032900,0203,020329,OTHER,hard,training_mode
carcasses and half carcasses of lamb,02041000,0204,020410,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH OR CHILLED",easy,training_mode
carcasses half carcasses lamb fresh chilled,02041000,0204,020410,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH OR CHILLED",medium,training_mode
carcasse and half carcasse of lamb,02041000,0204,020410,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH OR CHILLED",hard,training_mode
carcasses and half carcasses,02042100,0204,020421,CARCASSES AND HALF-CARCASSES,easy,training_mode
carcasses half carcasses,02042100,0204,020421,CARCASSES AND HALF-CARCASSES,medium,training_mode
carcasse and half carcasse,02042100,0204,020421,CARCASSES AND HALF-CARCASSES,hard,training_mode
other cuts with bone in,02042200,0204,020422,OTHER CUTS WITH BONE IN,easy,training_mode
other with bone,02042200,0204,020422,OTHER CUTS WITH BONE IN,medium,training_mode
othe cuts with bone in,02042200,0204,020422,OTHER CUTS WITH BONE IN,hard,training_mode
boneless,02042300,0204,020423,BONELESS,easy,training_mode
boneles,02042300,0204,020423,BONELESS,hard,training_mode
carcasses and half carcasses of lamb,02043000,0204,020430,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",easy,training_mode
carcasses half carcasses lamb frozen,02043000,0204,020430,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",medium,training_mode
carcasse and half carcasse of lamb,02043000,0204,020430,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",hard,training_mode
carcasses and half carcasses,02044100,0204,020441,CARCASSES AND HALF-CARCASSES,easy,training_mode
carcasses half carcasses,02044100,0204,020441,CARCASSES AND HALF-CARCASSES,medium,training_mode
carcasse and half carcasse,02044100,0204,020441,CARCASSES AND HALF-CARCASSES,hard,training_mode
other cuts with bone in,02044200,0204,020442,OTHER CUTS WITH BONE IN,easy,training_mode
other with bone,02044200,0204,020442,OTHER CUTS WITH BONE IN,medium,training_mode
othe cuts with bone in,02044200,0204,020442,OTHER CUTS WITH BONE IN,hard,training_mode
boneless,02044300,0204,020443,BONELESS,easy,training_mode
boneles,02044300,0204,020443,BONELESS,hard,training_mode
meat of goats,02045000,0204,020450,MEAT OF GOATS,easy,training_mode
meat goats,02045000,0204,020450,MEAT OF GOATS,medium,training_mode
meat of goat,02045000,0204,020450,MEAT OF GOATS,hard,training_mode
meat of horses asses mules or,02050000,0205,020500,"MEAT OF HORSES, ASSES, MULES OR HINNES, FRESH, CHILLED OR FROZEN",easy,training_mode
meat horses asses or hinnes chilled,02050000,0205,020500,"MEAT OF HORSES, ASSES, MULES OR HINNES, FRESH, CHILLED OR FROZEN",medium,training_mode
meat of horse asse mule or,02050000,0205,020500,"MEAT OF HORSES, ASSES, MULES OR HINNES, FRESH, CHILLED OR FROZEN",hard,training_mode
of bovine animals fresh or chilled,02061000,0206,020610,"OF BOVINE ANIMALS, FRESH OR CHILLED",easy,training_mode
of animals fresh chilled,02061000,0206,020610,"OF BOVINE ANIMALS, FRESH OR CHILLED",medium,training_mode
of bovin animal fres or chille,02061000,0206,020610,"OF BOVINE ANIMALS, FRESH OR CHILLED",hard,training_mode
tongues,02062100,0206,020621,TONGUES,easy,training_mode
tongue,02062100,0206,020621,TONGUES,hard,training_mode
livers,02062200,0206,020622,LIVERS,easy,training_mode
liver,02062200,0206,020622,LIVERS,hard,training_mode
other,02062900,0206,020629,OTHER,easy,training_mode
othe,02062900,0206,020629,OTHER,hard,training_mode
of swine fresh or chilled,02063000,0206,020630,"OF SWINE, FRESH OR CHILLED",easy,training_mode
of fresh or,02063000,0206,020630,"OF SWINE, FRESH OR CHILLED",medium,training_mode
of swin fres or chille,02063000,0206,020630,"OF SWINE, FRESH OR CHILLED",hard,training_mode
livers,02064100,0206,020641,LIVERS,easy,training_mode
liver,02064100,0206,020641,LIVERS,hard,training_mode
other,02064900,0206,020649,OTHER,easy,training_mode
othe,02064900,0206,020649,OTHER,hard,training_mode
of sheep or goats,02068010,0206,020680,OF SHEEP OR GOATS,easy,training_mode
of or goats,02068010,0206,020680,OF SHEEP OR GOATS,medium,training_mode
of shee or goat,02068010,0206,020680,OF SHEEP OR GOATS,hard,training_mode
other,02068090,0206,020680,OTHER,easy,training_mode
othe,02068090,0206,020680,OTHER,hard,training_mode
of sheep or goats,02069010,0206,020690,OF SHEEP OR GOATS,easy,training_mode
of or goats,02069010,0206,020690,OF SHEEP OR GOATS,medium,training_mode
of shee or goat,02069010,0206,020690,OF SHEEP OR GOATS,hard,training_mode
other,02069090,0206,020690,OTHER,easy,training_mode
othe,02069090,0206,020690,OTHER,hard,training_mode
not cut in pieces fresh or,02071100,0207,020711,"NOT CUT IN PIECES, FRESH OR CHILLED",easy,training_mode
not in pieces or chilled,02071100,0207,020711,"NOT CUT IN PIECES, FRESH OR CHILLED",medium,training_mode
not cut in piece fres or,02071100,0207,020711,"NOT CUT IN PIECES, FRESH OR CHILLED",hard,training_mode
not cut in pieces frozen,02071200,0207,020712,"NOT CUT IN PIECES, FROZEN",easy,training_mode
not in pieces,02071200,0207,020712,"NOT CUT IN PIECES, FROZEN",medium,training_mode
not cut in piece froze,02071200,0207,020712,"NOT CUT IN PIECES, FROZEN",hard,training_mode
cuts and offal fresh or chilled,02071300,0207,020713,"CUTS AND OFFAL, FRESH OR CHILLED",easy,training_mode
cuts offal fresh chilled,02071300,0207,020713,"CUTS AND OFFAL, FRESH OR CHILLED",medium,training_mode
cuts and offa fres or chille,02071300,0207,020713,"CUTS AND OFFAL, FRESH OR CHILLED",hard,training_mode
cuts and offal frozen,02071400,0207,020714,"CUTS AND OFFAL, FROZEN",easy,training_mode
cuts offal frozen,02071400,0207,020714,"CUTS AND OFFAL, FROZEN",medium,training_mode
cuts and offa froze,02071400,0207,020714,"CUTS AND OFFAL, FROZEN",hard,training_mode
not cut in pieces fresh or,02072400,0207,020724,"NOT CUT IN PIECES, FRESH OR CHILLED",easy,training_mode
not in pieces or chilled,02072400,0207,020724,"NOT CUT IN PIECES, FRESH OR CHILLED",medium,training_mode
not cut in piece fres or,02072400,0207,020724,"NOT CUT IN PIECES, FRESH OR CHILLED",hard,training_mode
not cut in pieces frozen,02072500,0207,020725,"NOT CUT IN PIECES, FROZEN",easy,training_mode
not in pieces,02072500,0207,020725,"NOT CUT IN PIECES, FROZEN",medium,training_mode
not cut in piece froze,02072500,0207,020725,"NOT CUT IN PIECES, FROZEN",hard,training_mode
cuts and offal fresh or chilled,02072600,0207,020726,"CUTS AND OFFAL, FRESH OR CHILLED",easy,training_mode
cuts offal fresh chilled,02072600,0207,020726,"CUTS AND OFFAL, FRESH OR CHILLED",medium,training_mode
cuts and offa fres or chille,02072600,0207,020726,"CUTS AND OFFAL, FRESH OR CHILLED",hard,training_mode
cuts and offal frozen,02072700,0207,020727,"Cuts and offal, frozen",easy,training_mode
cuts offal frozen,02072700,0207,020727,"Cuts and offal, frozen",medium,training_mode
cuts and offa froze,02072700,0207,020727,"Cuts and offal, frozen",hard,training_mode
not cut in pieces fresh or,02074100,0207,020741,"NOT CUT IN PIECES, FRESH OR CHILLED",easy,training_mode
not in pieces or chilled,02074100,0207,020741,"NOT CUT IN PIECES, FRESH OR CHILLED",medium,training_mode
not cut in piece fres or,02074100,0207,020741,"NOT CUT IN PIECES, FRESH OR CHILLED",hard,training_mode
